Start,End,Open,High,Low,Close,Volume,Market Cap
2022-10-07,2022-10-08,19956.8027,20042.21700031658,19377.6188439018,19533.02824919708,60960544332.7108,378822333516.15326
2022-10-06,2022-10-07,20157.0733,20412.1791,19882.909054930253,19948.22190296553,73072720042.66667,386125302356.6657
2022-10-05,2022-10-06,20339.9766,20343.1053,19759.352031250048,20168.6041,69289916686.22223,385619968282.44727
2022-10-04,2022-10-05,19621.4414,20373.396966370594,19510.5453,20339.726,68130612935.111115,382009598457.9857
2022-10-03,2022-10-04,19057.64369556662,19666.3757,19031.583301199476,19610.3879,57075608007.111115,370126361156.9657
2022-10-02,2022-10-03,19311.0991,19388.8829,18940.094476728857,19035.34988309635,38546956252.44444,368503905388.90497
2022-10-01,2022-10-02,19424.060071751013,19470.252372239076,19221.463,19305.1719,68653690678.792984,370380976869.9708
2022-09-30,2022-10-01,19595.196446577607,20130.3524,19251.1829,19449.60773627301,83393624974.22223,374198583961.64215
2022-09-29,2022-09-30,19417.118874852273,19595.0236,18900.6111,19593.33746227512,93504140231.11111,371680212221.6552
2022-09-28,2022-09-29,19109.881484046262,19731.8756,18528.601942108573,19399.488779047188,109016957213.43555,366474053295.3876
2022-09-27,2022-09-28,19224.7583,20346.1614,18844.26440209939,19098.479820191485,98288909824,378214069987.1188
2022-09-26,2022-09-27,18802.6997,19277.511556534526,18700.5511,19238.7536,67509007649.00349,364325052317.865
2022-09-25,2022-09-26,18923.4988,19135.6295,18682.763485549985,18814.0516,44811745464.888885,363657781154.98755
2022-09-24,2022-09-25,19290.27961354254,19294.62788235124,18831.329282068065,18931.734111634152,70758854556.44444,365483878913.81506
2022-09-23,2022-09-24,19404.73612890737,19466.7087,18568.779495688595,19245.96941762079,77987818268.44444,365154077232.53674
2022-09-22,2022-09-23,18480.425741563275,19493.936454052386,18374.854404399422,19429.13269379256,99240692195.55556,363556233837.2927
2022-09-21,2022-09-22,18873.9083,19670.86591446713,18200.895538073728,18501.82049448783,73457138531.55556,364096452308.9282
2022-09-20,2022-09-21,19537.112899779106,19624.335984835016,18799.074737459803,18873.2005,77663890642.50871,367436797852.7897
2022-09-19,2022-09-20,19420.56090741535,19623.12093685087,18391.819388875087,19576.637199316803,79169374904.88889,364027259526.05005
2022-09-18,2022-09-19,20121.84930436327,20121.84930436327,19374.4683,19393.59390761989,47383656476.44444,380422504433.0691
2022-09-17,2022-09-18,19803.71232683336,20173.35445935717,19768.490116814355,20123.640551657223,57758805461.333336,382058836181.7728
2022-09-16,2022-09-17,19702.014,19880.553575179376,19360.1566,19756.26818587181,66830132536.888885,377413510866.0545
2022-09-15,2022-09-16,20221.790212423784,20288.6975,19652.741839849117,19662.3883,75639756188.44444,382778123467.03
2022-09-14,2022-09-15,20175.70208744156,20486.084349024823,19748.013188581896,20251.71983492235,84479598023.11111,387241698025.5125
2022-09-13,2022-09-14,22399.97823239505,22698.77166532257,20032.1647,20172.39245600376,81152505173.33333,412380903690.47406
2022-09-12,2022-09-13,21818.602960045457,22458.633314149367,21589.69465603349,22387.938627526622,69203768618.66667,423653315759.19147
2022-09-11,2022-09-12,21648.39,21810.00020825588,21381.9013,21789.452410620557,51346227840,413658530577.9497
2022-09-10,2022-09-11,21362.69347040769,21767.7515,21166.98724627164,21661.704,62426090339.55556,409414147728.23645
2022-09-09,2022-09-10,19324.6317,21396.56902861357,19323.3601,21370.64087141258,60209335509.333336,396784798543.4815
2022-09-08,2022-09-09,19283.333150304185,19428.686750062745,19081.5462,19318.4204,49633780892.44444,368644994965.328
2022-09-07,2022-09-08,18785.90732919724,19446.587,18578.840415035156,19275.303555717022,56371120128,361859331726.1365
2022-09-06,2022-09-07,19786.60740136216,20154.40267481739,18744.9048,18812.061036941635,48719532558.22222,375267536735.27075
2022-09-05,2022-09-06,20000.399475766444,20040.55328912353,19660.148567918448,19808.0959608095,35287255189.333336,378844293108.78656
2022-09-04,2022-09-05,19830.80645739004,19999.5965774669,19620.9343,19975.30810008814,30188903488,379030074894.12897
2022-09-03,2022-09-04,19957.5713,20046.5481,19678.207,19834.795622562902,46422244778.666664,379758022134.11896
2022-09-02,2022-09-03,20123.43013005395,20409.61699052923,19787.50041417901,19927.5466,53777627899.54007,384504946573.6701
2022-09-01,2022-09-02,20053.474,20185.9976,19619.6549,20145.5884,59976236430.22222,382219556944.8095
2022-08-31,2022-09-01,19794.2573,20438.013302173287,19794.2573,20046.9471,68910236344.88889,386652241579.5222
2022-08-30,2022-08-31,20295.057469407144,20558.0115,19595.5805,19768.0653,59130067821.71429,385411494436.5063
2022-08-29,2022-08-30,19539.5807,20360.7005,19539.5807,20280.87117577155,50011859821.71429,382224120625.5954
2022-08-28,2022-08-29,20032.7284,20133.3567,19606.7351,19606.7351,41580848931.55556,382562471282.7958
2022-08-27,2022-08-28,20254.82006359482,20331.54696069997,19870.57393477105,20050.5705,59715633080.888885,384932413807.47296
2022-08-26,2022-08-27,21563.193109764416,21812.78889629564,20122.77851257181,20215.51485489009,54504579114.666664,404941903812.07947
2022-08-25,2022-08-26,21367.72490927717,21773.148661765037,21330.7948,21591.284830139277,50399097415.111115,413233152001.3557
2022-08-24,2022-08-25,21512.99518954893,21826.3262,21172.07432349025,21378.104807932155,50558561664,410769202810.8792
2022-08-23,2022-08-24,21412.8329,21632.790665155884,20946.783395273917,21516.130821435567,56455916259.55556,409246011088.18146
2022-08-22,2022-08-23,21511.405475999924,21511.405475999924,20931.27811382265,21418.635,48612705848.888885,406816213314.1128
2022-08-21,2022-08-22,21138.109082009472,21671.110181767843,21085.99915699701,21515.7063463541,42209985479.111115,408762717345.30273
2022-08-20,2022-08-21,20836.67633236989,21336.823875590573,20829.837923886767,21163.40850256323,61145030798.71777,404934592425.8903
2022-08-19,2022-08-20,23192.0722,23192.0722,20840.72427084073,20840.72427084073,56799885624.888885,417759707938.02356
2022-08-18,2022-08-19,23338.393003726764,23575.6112,23140.458575066263,23206.1852,50975738595.55556,447830687692.11334
2022-08-17,2022-08-18,23858.86041940708,24416.598,23213.059028209314,23311.75914654047,55592942003.2892,453256684699.5942
2022-08-16,2022-08-17,24088.5357,24236.6282,23707.5439,23889.74606019501,59133679900.44444,458345123480.8346
2022-08-15,2022-08-16,24300.94303970077,25136.0173,23804.7166,24146.6057,59267124807.111115,463905635630.02277
2022-08-14,2022-08-15,24443.207718102647,24975.3551,24177.632914818463,24323.00216934842,45036090766.22222,468505617974.2065
2022-08-13,2022-08-14,24399.2979,24879.86331487425,24334.20220840428,24427.973183996644,55096228622.22222,468930049868.2903
2022-08-12,2022-08-13,23934.3906,24417.5757,23644.725901721,24395.938,74588843079.11111,458429489535.7914
2022-08-11,2022-08-12,23956.83580403064,24838.0225842293,23872.7772,23928.9778,86265117553.77777,465824711793.6511
2022-08-10,2022-08-11,23145.39408153974,24149.627130637666,22734.43795638149,23940.204499589338,75259928007.11111,447407095340.55133
2022-08-09,2022-08-10,23817.559,23892.834,22906.4602,23158.699095578173,70921624871.11111,448026726997.483
2022-08-08,2022-08-09,23173.56449345656,24223.89166094395,23173.56449345656,23792.955,61125921052.44444,454755111561.97614
2022-08-07,2022-08-08,22941.6741,23371.0648,22864.3859,23170.70241754182,37227900821.333336,441070611370.9226
2022-08-06,2022-08-07,23296.01435871449,23327.09846022301,22938.3603,22938.3603,46671867100.44444,443172289378.6202
2022-08-05,2022-08-06,22603.2293453377,23440.18660849424,22603.2293453377,23225.78974753206,129511878926.22223,440925915648.11
2022-08-04,2022-08-05,22817.335295209105,23200.519310198488,22449.9977,22635.52000440668,63618554424.888885,436671458582.9739
2022-08-03,2022-08-04,22986.79764383069,23567.7332,22722.4086,22812.3048,61731132919.08014,442850015786.80255
2022-08-02,2022-08-03,23281.93086710305,23423.380366916925,22683.0436,22963.82553778134,64458226289.77778,438874273552.16943
2022-08-01,2022-08-02,23311.5556,23475.5943,22864.676618594687,23311.592835340976,63362851484.44444,443686399923.68054
2022-07-31,2022-08-01,23635.63635852476,24167.151073084715,23258.2971,23314.4296,70552922680.88889,453330489667.0117
2022-07-30,2022-07-31,23789.5514,24589.353570680123,23550.6775,23642.243234107824,78457212017.77777,459086809086.1007
2022-07-29,2022-07-30,23852.00875970416,24298.65222309941,23452.4636,23746.2734,82637280583.11111,456242554881.8672
2022-07-28,2022-07-29,22954.9980721542,24139.4757,22713.8719490485,23847.01344273555,95390300728.88889,445314132645.69946
2022-07-27,2022-07-28,21279.622352812028,22943.12042341547,21047.5454,22943.12042341547,74499287061.40767,413620711790.04
2022-07-26,2022-07-27,21317.184,21317.184,20737.035817202937,21206.715243842376,80699937495.86063,401724637843.7146
2022-07-25,2022-07-26,22583.915772423832,22620.95390299812,21340.4673,21340.4673,63096376192,419308316689.9288
2022-07-24,2022-07-25,22459.036285746173,22990.3936116732,22295.8444,22600.784714066285,64037183873.33798,432554845044.9377
2022-07-23,2022-07-24,22683.3616,22971.2668,22000.690877293277,22471.31570306779,66410503533.2028,429970549238.5302
2022-07-22,2022-07-23,23153.3584,23679.194822511952,22559.0086,22701.085,86243476340.85017,441950488414.3236
2022-07-21,2022-07-22,23219.1382,23403.2821,22369.096919709784,23180.0875,91477466453.33333,438036787268.61707
2022-07-20,2022-07-21,23409.933,24237.7006,22966.7746,23244.5742,93750028123.87456,450053895443.8011
2022-07-19,2022-07-20,22517.09549629813,23695.7738,21620.9054,23407.3451,104199588124.44444,430166512641.932
2022-07-18,2022-07-19,20787.37682154441,22688.716833031736,20787.37682154441,22440.036584128276,75819726179.55556,416830549514.3218
2022-07-17,2022-07-18,21207.850954037367,21605.869305574124,20769.40225729633,20769.40225729633,63000171477.333336,405280805586.6238
2022-07-16,2022-07-17,20825.95712567454,21507.169268836857,20514.6608,21192.113672852756,67204086400,398560864419.21783
2022-07-15,2022-07-16,20587.367,21161.5687287193,20406.85344948328,20831.31137190196,70225059640.19513,396977697387.6409
2022-07-14,2022-07-15,20241.3541,20748.38330233335,19659.5601076056,20587.5358,67129015438.22222,385428719518.82733
2022-07-13,2022-07-14,19330.0263,20223.0186,19001.01635110447,20187.1528,55545072384,374601942548.6022
2022-07-12,2022-07-13,19961.358397116197,20043.3868,19313.260763230774,19313.260763230774,48327162040.888885,377450556442.84753
2022-07-11,2022-07-12,20849.271921637504,20849.271921637504,19930.490384877103,19992.2945670274,49043628074.666664,391019023393.65216
2022-07-10,2022-07-11,21584.981658562705,21589.42303244173,20701.05219826735,20857.655837364564,54982980252.44444,403608460617.63544
2022-07-09,2022-07-10,21594.395622244985,21951.0266,21424.16270326956,21592.741748203127,83660958023.11111,412806037389.1603
2022-07-08,2022-07-09,21654.135499138163,22332.79351897018,21250.88435266647,21801.082205426865,70338781754.87108,415489591997.28784
2022-07-07,2022-07-08,20562.573465552563,21801.0647,20279.6294,21647.165928409104,44030315825.77778,396814663327.1553
2022-07-06,2022-07-07,20209.97546716581,20615.7438,19835.7004,20557.53554927252,52267397111.46264,385421461532.8397
2022-07-05,2022-07-06,20219.6652,20687.75138226261,19354.56272326472,20185.96232827533,47991911817.84615,381901509024.66693
2022-07-04,2022-07-05,19317.458,20296.167,19071.7771,20255.6454,33124206627.555557,372653433607.4901
2022-07-03,2022-07-04,19249.34729889521,19567.1081,18973.251867430583,19310.0755,29227636337.77778,365991968153.1942
2022-07-02,2022-07-03,19266.38852218806,19425.75551364793,19036.13150087182,19246.50948842687,39790523569.77778,367230819438.14075
2022-07-01,2022-07-02,19922.81904792033,20623.15226158292,19075.4632,19336.1044410867,63618849237.333336,373099100824.934
2022-06-30,2022-07-01,20117.9242,20145.9851,18703.15968589845,19816.746359929737,46778511125.333336,369357539206.57983
2022-06-29,2022-06-30,20278.898,20389.37345581186,19907.769822893093,20101.12,45608149548.599304,384572998161.4384
2022-06-28,2022-06-29,20715.201372762695,21183.62153209416,20223.8036066242,20293.4508,42703964992,395180734750.90894
2022-06-27,2022-06-28,21036.933,21496.338,20647.67840914948,20732.9834,39899888824.888885,401731178345.50146
2022-06-26,2022-06-27,21504.60596690371,21836.73783767194,21001.37869884742,21029.2163,36017590144,407726053064.8783
2022-06-25,2022-06-26,21221.52690442072,21528.4212,20941.2133,21499.971037134244,45185609102.22222,405779943182.65765
2022-06-24,2022-06-25,21097.6645,21461.36527971667,20764.6157,21279.532329177902,49938802076.44444,402565105296.2989
2022-06-23,2022-06-24,19975.729925447067,21160.101480528872,19975.729925447067,21075.1688,50275136312.888885,391754411545.6918
